Name,Specs,Price,Processor,RAM Size (GB),RAM Type,Storage SSD (GB),Storage HDD (GB),Storage Type,GPU,VRAM (GB),OS,Display Size (inch)
MSI Stealth 18 AI Studio A1VIG-022IN Gaming Laptop (Intel Core Ultra 9 185H/ 32GB/ 2TB SSD/ Win11 Home/ 16GB RTX 4090 Graph),"Intel Core Ultra 9 Series 1 185H
16 Cores (6P + 8E + 2LP-E), 22 Threads
32 GB DDR5 RAM
2 TB SSD
16 GB NVIDIA GeForce RTX 4090
18 inches, 3840 x 2400 pixels
Windows 11 OS
2 Year Warranty","₹2,59,990","Intel Core Ultra 9 Series 1 185H
16 Cores (6P + 8E + 2LP-E)",32.0,DDR5,2048.0,,SSD,RTX 4090,,Windows 11,18.0
Dell Inspiron 15 3530 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"13th Gen Intel Core i3 1305U
5 Cores (1P + 4E), 6 Threads
8 GB DDR4 RAM
512 GB SSD
Intel Integrated UHD
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹34,711","Intel Core i3 1305U
5 Cores (1P + 4E)",8.0,DDR4,512.0,,SSD,,,Windows 11,15.6
Acer 15 Travel Lite TL15-53M Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"13th Gen Intel Core i3
16 GB RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty
Backlit Keyboard","₹36,990","Intel Core i3
16 GB RAM
512 GB SSD
Intel Iris Xe Graphics
15.6 inches",16.0,,512.0,,SSD,Intel Iris Xe,,Windows 11,15.6
Lenovo 100e Chromebook Gen 4 82W00004HA Laptop (MediaTek Kompanio 520/ 4GB/ 32GB EMMC/ Chrome OS),"MediaTek Kompanio 520 520
4 GB LPDDR4X RAM
32 GB eMMC Storage
MediaTek Integrated Arm Mali-G52
11.6 inches, 1366 x 768 pixels
Chrome OS
1 Year Warranty
2 USB 3.0 Ports","₹9,499",,,LPDDR4,,,eMMC,,,,11.6
Lenovo LOQ 15IRX9 83DV00X8IN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),"13th Gen Intel Core i7 13650HX
14 Cores (6P + 8E)
24 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹1,00,490","Intel Core i7 13650HX
14 Cores (6P + 8E)
24 GB DDR5 RAM
512 GB SSD
8 GB NVIDIA GeForce RTX 4060
15.6 inches",24.0,DDR5,512.0,,SSD,RTX 4060,,Windows 11,15.6
HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),"7th Gen AMD Ryzen 3 7320U
Quad Core, 8 Threads
8 GB DDR4 RAM
512 GB SSD
AMD Radeon Graphics
15.6 inches, 1366 x 768 pixels
Windows 11 OS
1 Year Warranty","₹25,290","AMD Ryzen 3 7320U
Quad Core",8.0,DDR4,512.0,,SSD,Radeon Graphics,,Windows 11,15.6
HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),"7th Gen AMD Ryzen 5 7535HS
Hexa Core, 12 Threads
8 GB DDR5 RAM
512 GB SSD
AMD Radeon AMD
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹42,990","AMD Ryzen 5 7535HS
Hexa Core",8.0,DDR5,512.0,,SSD,Radeon AMD,,Windows 11,15.6
Gigabyte G5 MF5-H2IN354SH Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"13th Gen Intel Core i7 13620H
10 Cores (6P + 4E), 16 Threads
16 GB DDR5 RAM
1 TB SSD
6 GB NVIDIA GeForce RTX 4050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
2 Year Warranty","₹77,490","Intel Core i7 13620H
10 Cores (6P + 4E)",16.0,DDR5,1024.0,,SSD,RTX 4050,,Windows 11,15.6
Acer 15 Aspire Lite AL15-41 Laptop (AMD Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11),"5th Gen AMD Ryzen 5 5625U
Hexa Core, 12 Threads
16 GB DDR4 RAM
512 GB SSD
AMD Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹34,490","AMD Ryzen 5 5625U
Hexa Core",16.0,DDR4,512.0,,SSD,"Graphics
15",,Windows 11,15.6
HP Pavilion 16-af0056TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 1TB SSD/ Win11),"Intel Core Ultra 5 125U
12 Cores (2P + 8E + 2LP-E), 14 Threads
16 GB LPDDR5 RAM
1 TB SSD
Intel Integrated Graphics
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹61,990","Intel Core Ultra 5 125U
12 Cores (2P + 8E + 2LP-E)",16.0,LPDDR5,1024.0,,SSD,"Graphics
16",,Windows 11,16.0
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),N/A,"₹91,990",,,,,,,,,,
Lenovo Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),N/A,"₹2,39,990",,,,,,,,,,
Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),N/A,"₹4,49,990",,,,,,,,,,
Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),N/A,"₹42,954",,,,,,,,,,
Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),N/A,"₹21,995",,,,,,,,,,
HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),N/A,"₹68,841",,,,,,,,,,
Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),N/A,"₹73,990",,,,,,,,,,
Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),N/A,"₹38,990",,,,,,,,,,
